"party","parfam","partyname"
77710,70,"Azerbaijan National Independence Party"
77221,20,"Azerbaijan United Communist Party"
77951,70,"Civil Solidarity Party"
78211,20,"Party of Communists of Belarus"
78212,80,"Agrarian Party of Belarus"
78213,80,"Belarusan Peasants' Party"
78214,20,"Belarusan Patriotic Movement"
78410,30,"Party of People’s Consent"
78430,40,"United Democratic Party of Belarus"
78710,30,"Belarusian Social-Democratic Party ‘Hramada’"
78901,95,"Party of Women ‘Nadzeja’"
79221,20,"League of Communists of Bosnia and Herzegovina-Social Democratic Party"
79222,40,"Alliance of Reform Forces of Yugoslavia"
79951,90,"Party of Democratic Action"
79953,90,"Croatian Democratic Union of Bosnia and Herzegovina"
79954,90,"Muslim-Bosniac Organization"
79955,90,"Serbian Democratic Party"
79223,90,"Socialist Party of the Republika Srpska"
79723,90,"Party for Bosnia and Herzegovina"
79321,30,"Social Democratic Party of Bosnia and Herzegovina"
79421,98,"Coalition for a United and Democratic Bosnia and Herzegovina"
79721,90,"Serbian Radical Party of the Republika Srpska"
79722,90,"Radical Party of the Republika Srpska"
79422,90,"Party of Democratic Progress of the Republika Srpska"
79423,90,"New Croation Initiative"
79901,90,"Democratic Peoples’ Union of Bosnia and Herzegovina"
79730,70,"Alliance of Independent Social Democrats"
79956,50,"Croatian Democratic Union 1990"
79957,70,"Bosnian-Herzegovinian Patriotic Party"
79610,60,"Alliance for a Better Future of Bosnia and Herzegovina"
79322,30,"Democratic Front"
79030,30,"Democratic Front - Civic Alliance"
79090,90,"Serbian Democratic Party - list"
79440,40,"Our Party"
79441,40,"For New Generations"
79620,60,"People and Justice"
79625,60,"The People's European Union of Bosnia and Herzegovina"
80220,30,"Bulgarian Socialist Party"
80410,40,"Union of Democratic Forces"
80810,80,"Bulgarian Agrarian National Union"
80951,90,"Movement for Rights and Freedoms"
80228,30,"Coalition of Bulgarian Socialist Party"
80110,10,"Political Club ‘Ekoglasnost'"
80228,30,"Coalition of Bulgarian Socialist Party, Bulgarian Agrarian People’s Union - Alexandar Stambolijski and Political Club 'Ekoglasnost'"
80811,70,"People’s Union"
80812,80,"Bulgarian Agrarian People’s Union - Alexandar Stambolijski"
80901,60,"Bulgarian Business Bloc"
80229,30,"Democratic Left"
80320,30,"Euroleft Coalition"
80411,40,"United Democratic Forces"
80952,98,"Union of National Salvation"
80221,30,"Coalition for Bulgaria"
